year,state_name,county_name,Value
2019,ILLINOIS,OTHER (COMBINED) COUNTIES,406.42249142067527
2021,ILLINOIS,BUREAU,1281.9581435636649
2020,ILLINOIS,BUREAU,1298.9008811747644
2019,ILLINOIS,BUREAU,957.5313897871108
2018,ILLINOIS,BUREAU,1419.4813540981359
2017,ILLINOIS,BUREAU,1422.2501073209392
2016,ILLINOIS,BUREAU,1406.4504329669603
2015,ILLINOIS,BUREAU,1297.5038038605055
2014,ILLINOIS,BUREAU,1369.3643806248238
2013,ILLINOIS,BUREAU,1366.8242400534446
2021,ILLINOIS,CARROLL,652.9939366844562
2020,ILLINOIS,CARROLL,665.8978507870626
2019,ILLINOIS,CARROLL,672.7562303297864
2018,ILLINOIS,CARROLL,720.866492751709
2017,ILLINOIS,CARROLL,881.5811867028722
2016,ILLINOIS,CARROLL,857.7800695490489
2015,ILLINOIS,CARROLL,755.3362003053248
2014,ILLINOIS,CARROLL,703.872952329182
2013,ILLINOIS,CARROLL,737.7584275513807
2021,ILLINOIS,HENRY,1154.7733051547073
2020,ILLINOIS,HENRY,1185.6614145026788
2019,ILLINOIS,HENRY,919.251471376426
2018,ILLINOIS,HENRY,1246.4215769700697
2017,ILLINOIS,HENRY,1252.0352876328177
2016,ILLINOIS,HENRY,1225.338410227622
2015,ILLINOIS,HENRY,1119.135132938257
2014,ILLINOIS,HENRY,1141.8947924578147
2013,ILLINOIS,HENRY,1105.799394938516
2021,ILLINOIS,JO DAVIESS,483.3887507334656
2020,ILLINOIS,JO DAVIESS,507.67249459585094
2019,ILLINOIS,JO DAVIESS,459.13040827679407
2018,ILLINOIS,JO DAVIESS,494.41296081325146
2017,ILLINOIS,JO DAVIESS,426.6928131802814
2016,ILLINOIS,JO DAVIESS,494.9463903332411
2015,ILLINOIS,JO DAVIESS,434.694255980126
2014,ILLINOIS,JO DAVIESS,450.5447331455323
2013,ILLINOIS,JO DAVIESS,439.9269455571672
2021,ILLINOIS,LEE,1136.4334902293494
2020,ILLINOIS,LEE,1197.3714625367368
2019,ILLINOIS,LEE,958.5220446099488
2018,ILLINOIS,LEE,1221.5281993705532
2017,ILLINOIS,LEE,1261.0781880669276
2016,ILLINOIS,LEE,1306.0894789917675
2015,ILLINOIS,LEE,1224.8049807076325
2014,ILLINOIS,LEE,1224.3985582162115
2013,ILLINOIS,LEE,1203.4677999080468
2020,ILLINOIS,MERCER,705.2446282377267
2019,ILLINOIS,MERCER,642.5793603418014
2018,ILLINOIS,MERCER,819.0429258355157
2017,ILLINOIS,MERCER,828.3398403267637
2016,ILLINOIS,MERCER,767.8336919165107
2015,ILLINOIS,MERCER,721.1713096202744
2014,ILLINOIS,MERCER,678.2175325582517
2013,ILLINOIS,MERCER,635.6701779876498
2021,ILLINOIS,OGLE,1064.0394839450416
2020,ILLINOIS,OGLE,1117.1030204811534
2019,ILLINOIS,OGLE,990.8834354893199
2018,ILLINOIS,OGLE,1064.5729134650312
2017,ILLINOIS,OGLE,1125.0536604695703
2016,ILLINOIS,OGLE,1262.2212513240484
2015,ILLINOIS,OGLE,1109.330190332733
2014,ILLINOIS,OGLE,1144.5111372463352
2013,ILLINOIS,OGLE,1204.2552434851746
2021,ILLINOIS,PUTNAM,161.80695439685633
2020,ILLINOIS,PUTNAM,161.2227220654391
2018,ILLINOIS,PUTNAM,167.59847489960094
2017,ILLINOIS,PUTNAM,181.59464944790045
2016,ILLINOIS,PUTNAM,205.0147455160169
2015,ILLINOIS,PUTNAM,167.01424256818373
2014,ILLINOIS,PUTNAM,179.1561144993764
2013,ILLINOIS,PUTNAM,168.79234096814918
2021,ILLINOIS,ROCK ISLAND,349.01531450750485
2020,ILLINOIS,ROCK ISLAND,329.86265459930553
