year,state_name,county_name,Value
2019,ILLINOIS,OTHER (COMBINED) COUNTIES,4.427465015913981
2021,ILLINOIS,BUREAU,5.169186062756713
2020,ILLINOIS,BUREAU,5.065040299330165
2019,ILLINOIS,BUREAU,4.569712887911217
2018,ILLINOIS,BUREAU,5.43844096332291
2017,ILLINOIS,BUREAU,5.471462790750841
2016,ILLINOIS,BUREAU,5.17934662504223
2015,ILLINOIS,BUREAU,4.998996644474306
2014,ILLINOIS,BUREAU,4.9786755199032715
2013,ILLINOIS,BUREAU,4.722121322193971
2021,ILLINOIS,CARROLL,5.207288171327401
2020,ILLINOIS,CARROLL,5.072660721044302
2019,ILLINOIS,CARROLL,5.235229717612572
2018,ILLINOIS,CARROLL,5.514645180464287
2017,ILLINOIS,CARROLL,6.045534559882544
2016,ILLINOIS,CARROLL,5.8905859850284115
2015,ILLINOIS,CARROLL,5.186967046756368
2014,ILLINOIS,CARROLL,4.981215660474651
2013,ILLINOIS,CARROLL,5.070120580472923
2021,ILLINOIS,HENRY,5.143784657042921
2020,ILLINOIS,HENRY,5.280952247897399
2019,ILLINOIS,HENRY,4.750062868479142
2018,ILLINOIS,HENRY,5.575608554177388
2017,ILLINOIS,HENRY,5.527345883321183
2016,ILLINOIS,HENRY,5.280952247897399
2015,ILLINOIS,HENRY,4.907551583904653
2014,ILLINOIS,HENRY,4.932952989618445
2013,ILLINOIS,HENRY,4.686559354194661
2021,ILLINOIS,JO DAVIESS,5.077741002187062
2020,ILLINOIS,JO DAVIESS,4.910091724476033
2019,ILLINOIS,JO DAVIESS,4.798325539335347
2018,ILLINOIS,JO DAVIESS,5.311433934753949
2017,ILLINOIS,JO DAVIESS,4.859288913048449
2016,ILLINOIS,JO DAVIESS,5.204748030756022
2015,ILLINOIS,JO DAVIESS,4.653537526766731
2014,ILLINOIS,JO DAVIESS,4.653537526766731
2013,ILLINOIS,JO DAVIESS,4.457946702770531
2021,ILLINOIS,LEE,5.039638893616373
2020,ILLINOIS,LEE,4.927872708475687
2019,ILLINOIS,LEE,4.607814996481905
2018,ILLINOIS,LEE,5.230149436469815
2017,ILLINOIS,LEE,5.30889379418257
2016,ILLINOIS,LEE,5.103142407900854
2015,ILLINOIS,LEE,4.785624836478451
