Title:,"Time Series, Area-Averaged of Merged satellite-gauge precipitation estimate - Final Run (recommended ()"
User Start Date:,2013-04-01T00:00:00Z
User End Date:,2022-11-30T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2013-04-01T00:00:00Z&endtime=2022-11-30T23:59:59Z&shape=tl_2014_us_state/shp_2&&data=GPM_3IMERGM_06_precipitation(units%3Dmm%2Fmonth)&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGM_06_precipitation):, -9999.9

time, mean_GPM_3IMERGM_06_precipitation
2013-04-01 00:00:00,181.286301
2013-05-01 00:00:00,187.788864
2013-06-01 00:00:00,136.945496
2013-07-01 00:00:00,72.2082825
2013-08-01 00:00:00,40.8490181
2013-09-01 00:00:00,42.1166344
2013-10-01 00:00:00,92.8016129
2013-11-01 00:00:00,70.9698181
2013-12-01 00:00:00,71.4068909
2014-01-01 00:00:00,60.8247375
2014-02-01 00:00:00,65.9513779
2014-03-01 00:00:00,42.4138756
2014-04-01 00:00:00,133.55867
2014-05-01 00:00:00,82.5113068
2014-06-01 00:00:00,178.725494
2014-07-01 00:00:00,75.4394608
2014-08-01 00:00:00,135.609421
2014-09-01 00:00:00,101.316078
2014-10-01 00:00:00,103.07679
2014-11-01 00:00:00,57.531929
2014-12-01 00:00:00,53.2266083
2015-01-01 00:00:00,56.0465698
2015-02-01 00:00:00,43.0467262
2015-03-01 00:00:00,68.7942657
2015-04-01 00:00:00,94.8736191
2015-05-01 00:00:00,140.820831
2015-06-01 00:00:00,232.515793
2015-07-01 00:00:00,130.872711
2015-08-01 00:00:00,79.5575943
2015-09-01 00:00:00,85.5811462
2015-10-01 00:00:00,39.1652908
2015-11-01 00:00:00,162.705658
2015-12-01 00:00:00,204.865341
2016-01-01 00:00:00,33.9820442
2016-02-01 00:00:00,41.7011833
2016-03-01 00:00:00,108.339699
2016-04-01 00:00:00,85.0775375
2016-05-01 00:00:00,111.273087
2016-06-01 00:00:00,70.6205444
2016-07-01 00:00:00,177.302231
2016-08-01 00:00:00,183.939621
2016-09-01 00:00:00,88.4060059
2016-10-01 00:00:00,59.6140556
2016-11-01 00:00:00,75.4550934
2016-12-01 00:00:00,43.9970436
2017-01-01 00:00:00,77.0664978
2017-02-01 00:00:00,36.3569908
2017-03-01 00:00:00,99.5430222
2017-04-01 00:00:00,194.922119
2017-05-01 00:00:00,114.961922
2017-06-01 00:00:00,87.1199875
2017-07-01 00:00:00,112.142731
2017-08-01 00:00:00,63.5563469
2017-09-01 00:00:00,24.8144722
2017-10-01 00:00:00,125.908463
2017-11-01 00:00:00,52.6137009
2017-12-01 00:00:00,28.953331
2018-01-01 00:00:00,50.7503128
2018-02-01 00:00:00,148.638809
2018-03-01 00:00:00,97.7245865
2018-04-01 00:00:00,63.4134178
2018-05-01 00:00:00,116.714943
2018-06-01 00:00:00,149.097992
2018-07-01 00:00:00,86.208313
2018-08-01 00:00:00,123.857712
2018-09-01 00:00:00,124.22757
2018-10-01 00:00:00,100.426231
2018-11-01 00:00:00,80.5531006
2018-12-01 00:00:00,121.572334
2019-01-01 00:00:00,86.2055359
2019-02-01 00:00:00,109.862144
2019-03-01 00:00:00,112.364342
2019-04-01 00:00:00,141.291809
2019-05-01 00:00:00,195.180389
2019-06-01 00:00:00,136.249619
2019-07-01 00:00:00,84.7976685
2019-08-01 00:00:00,102.31855
2019-09-01 00:00:00,131.399902
2019-10-01 00:00:00,122.606499
2019-11-01 00:00:00,73.4846344
2019-12-01 00:00:00,64.5782013
2020-01-01 00:00:00,148.339874
2020-02-01 00:00:00,61.473217
2020-03-01 00:00:00,110.332825
2020-04-01 00:00:00,101.78508
2020-05-01 00:00:00,155.340698
2020-06-01 00:00:00,117.545731
2020-07-01 00:00:00,134.424744
2020-08-01 00:00:00,53.1615829
2020-09-01 00:00:00,94.6730728
2020-10-01 00:00:00,96.9821396
2020-11-01 00:00:00,78.8709641
2020-12-01 00:00:00,50.4365044
2021-01-01 00:00:00,79.3521957
2021-02-01 00:00:00,54.3661156
2021-03-01 00:00:00,99.8519669
2021-04-01 00:00:00,86.680275
2021-05-01 00:00:00,110.394485
2021-06-01 00:00:00,139.291306
2021-07-01 00:00:00,119.340141
2021-08-01 00:00:00,109.121925
2021-09-01 00:00:00,64.2762146
