Title:,"Time Series, Area-Averaged of Merged satellite-gauge precipitation estimate - Final Run (recommended ()"
User Start Date:,2013-04-01T00:00:00Z
User End Date:,2022-11-30T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2013-04-01T00:00:00Z&endtime=2022-11-30T23:59:59Z&shape=tl_2014_us_state/shp_3&&data=GPM_3IMERGM_06_precipitation(units%3Dmm%2Fmonth)&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGM_06_precipitation):, -9999.9

time, mean_GPM_3IMERGM_06_precipitation
2013-04-01 00:00:00,74.2270737
2013-05-01 00:00:00,125.959358
2013-06-01 00:00:00,124.583145
2013-07-01 00:00:00,77.598877
2013-08-01 00:00:00,59.9677773
2013-09-01 00:00:00,66.6734161
2013-10-01 00:00:00,98.6588287
2013-11-01 00:00:00,25.7387104
2013-12-01 00:00:00,41.8788109
2014-01-01 00:00:00,27.4384212
2014-02-01 00:00:00,29.6710892
2014-03-01 00:00:00,37.0612297
2014-04-01 00:00:00,94.364296
2014-05-01 00:00:00,107.404953
2014-06-01 00:00:00,185.90979
2014-07-01 00:00:00,71.4064941
2014-08-01 00:00:00,95.8844757
2014-09-01 00:00:00,62.011322
2014-10-01 00:00:00,35.5859451
2014-11-01 00:00:00,25.1217384
2014-12-01 00:00:00,24.10009
2015-01-01 00:00:00,15.5821543
2015-02-01 00:00:00,13.1750212
2015-03-01 00:00:00,19.4130116
2015-04-01 00:00:00,37.4493179
2015-05-01 00:00:00,130.750168
2015-06-01 00:00:00,94.995163
2015-07-01 00:00:00,102.129402
2015-08-01 00:00:00,95.279686
2015-09-01 00:00:00,81.3277969
2015-10-01 00:00:00,58.1028709
2015-11-01 00:00:00,80.4813385
2015-12-01 00:00:00,49.4725189
2016-01-01 00:00:00,17.4927139
2016-02-01 00:00:00,21.0313187
2016-03-01 00:00:00,61.1581726
2016-04-01 00:00:00,67.8555832
2016-05-01 00:00:00,73.2663345
2016-06-01 00:00:00,113.904594
2016-07-01 00:00:00,147.858978
2016-08-01 00:00:00,133.76564
2016-09-01 00:00:00,125.285492
2016-10-01 00:00:00,60.4589386
2016-11-01 00:00:00,54.2543449
2016-12-01 00:00:00,51.4199448
2017-01-01 00:00:00,30.9925232
2017-02-01 00:00:00,30.875246
2017-03-01 00:00:00,22.6926308
2017-04-01 00:00:00,72.7682724
2017-05-01 00:00:00,72.4185104
2017-06-01 00:00:00,100.930664
2017-07-01 00:00:00,73.6039505
2017-08-01 00:00:00,139.017746
2017-09-01 00:00:00,102.140076
2017-10-01 00:00:00,87.1374054
2017-11-01 00:00:00,18.1254654
2017-12-01 00:00:00,18.9422359
2018-01-01 00:00:00,16.7184334
2018-02-01 00:00:00,28.3572254
2018-03-01 00:00:00,31.7125206
2018-04-01 00:00:00,24.0883636
2018-05-01 00:00:00,76.8041306
2018-06-01 00:00:00,134.893219
2018-07-01 00:00:00,92.5845566
2018-08-01 00:00:00,80.9583282
2018-09-01 00:00:00,108.948898
2018-10-01 00:00:00,84.66539
2018-11-01 00:00:00,24.6450024
2018-12-01 00:00:00,30.9559269
2019-01-01 00:00:00,17.7188683
2019-02-01 00:00:00,36.9521828
2019-03-01 00:00:00,44.6876411
2019-04-01 00:00:00,67.5582428
2019-05-01 00:00:00,106.691277
2019-06-01 00:00:00,87.9032898
2019-07-01 00:00:00,113.943398
2019-08-01 00:00:00,88.1488571
2019-09-01 00:00:00,158.980301
2019-10-01 00:00:00,97.1059799
2019-11-01 00:00:00,36.6347809
2019-12-01 00:00:00,39.5126305
2020-01-01 00:00:00,34.7386971
2020-02-01 00:00:00,12.1994123
2020-03-01 00:00:00,51.3504448
2020-04-01 00:00:00,43.2858925
2020-05-01 00:00:00,64.9341202
2020-06-01 00:00:00,111.539268
2020-07-01 00:00:00,119.879845
2020-08-01 00:00:00,96.0552292
2020-09-01 00:00:00,43.2385864
2020-10-01 00:00:00,58.854229
2020-11-01 00:00:00,43.2140388
2020-12-01 00:00:00,21.8889694
2021-01-01 00:00:00,22.1637135
2021-02-01 00:00:00,15.1103287
2021-03-01 00:00:00,50.8382111
2021-04-01 00:00:00,73.411232
2021-05-01 00:00:00,51.7175522
2021-06-01 00:00:00,52.4816322
2021-07-01 00:00:00,59.2295456
2021-08-01 00:00:00,119.629311
2021-09-01 00:00:00,80.2183838
