Title:,"Time Series, Area-Averaged of Merged satellite-gauge precipitation estimate - Final Run (recommended ()"
User Start Date:,2013-04-01T00:00:00Z
User End Date:,2022-11-30T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2013-04-01T00:00:00Z&endtime=2022-11-30T23:59:59Z&shape=tl_2014_us_state/shp_45&&data=GPM_3IMERGM_06_precipitation(units%3Dmm%2Fmonth)&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGM_06_precipitation):, -9999.9

time, mean_GPM_3IMERGM_06_precipitation
2013-04-01 00:00:00,150.324783
2013-05-01 00:00:00,175.96817
2013-06-01 00:00:00,112.048759
2013-07-01 00:00:00,75.5204773
2013-08-01 00:00:00,106.902184
2013-09-01 00:00:00,61.9541512
2013-10-01 00:00:00,94.464653
2013-11-01 00:00:00,68.1335754
2013-12-01 00:00:00,64.0530853
2014-01-01 00:00:00,39.8093834
2014-02-01 00:00:00,32.8051491
2014-03-01 00:00:00,42.6050568
2014-04-01 00:00:00,122.868507
2014-05-01 00:00:00,73.0205994
2014-06-01 00:00:00,162.428177
2014-07-01 00:00:00,59.6347923
2014-08-01 00:00:00,105.877197
2014-09-01 00:00:00,103.093376
2014-10-01 00:00:00,165.044006
2014-11-01 00:00:00,48.2139587
2014-12-01 00:00:00,58.1440735
2015-01-01 00:00:00,45.3030319
2015-02-01 00:00:00,46.3385925
2015-03-01 00:00:00,85.7809372
2015-04-01 00:00:00,81.0846558
2015-05-01 00:00:00,188.539703
2015-06-01 00:00:00,193.938858
2015-07-01 00:00:00,210.203522
2015-08-01 00:00:00,98.2913513
2015-09-01 00:00:00,57.3717804
2015-10-01 00:00:00,36.0821381
2015-11-01 00:00:00,224.119049
2015-12-01 00:00:00,214.076355
2016-01-01 00:00:00,36.5129204
2016-02-01 00:00:00,26.1700516
2016-03-01 00:00:00,81.3704758
2016-04-01 00:00:00,89.8601913
2016-05-01 00:00:00,143.291809
2016-06-01 00:00:00,60.115963
2016-07-01 00:00:00,174.297913
2016-08-01 00:00:00,174.148132
2016-09-01 00:00:00,108.93734
2016-10-01 00:00:00,57.9974442
2016-11-01 00:00:00,46.1600914
2016-12-01 00:00:00,27.7544384
2017-01-01 00:00:00,60.2937775
2017-02-01 00:00:00,23.4034061
2017-03-01 00:00:00,107.464874
2017-04-01 00:00:00,252.642654
2017-05-01 00:00:00,146.281296
2017-06-01 00:00:00,113.022781
2017-07-01 00:00:00,82.8318634
2017-08-01 00:00:00,136.099976
2017-09-01 00:00:00,39.6876183
2017-10-01 00:00:00,105.528236
2017-11-01 00:00:00,26.3215599
2017-12-01 00:00:00,37.4842415
2018-01-01 00:00:00,48.144455
2018-02-01 00:00:00,139.561264
2018-03-01 00:00:00,96.3199997
2018-04-01 00:00:00,57.4601479
2018-05-01 00:00:00,107.827682
2018-06-01 00:00:00,97.1901855
2018-07-01 00:00:00,68.575264
2018-08-01 00:00:00,142.926208
2018-09-01 00:00:00,86.3548584
2018-10-01 00:00:00,133.768295
2018-11-01 00:00:00,70.1378937
2018-12-01 00:00:00,118.577339
2019-01-01 00:00:00,77.1026077
2019-02-01 00:00:00,109.883896
2019-03-01 00:00:00,106.860573
2019-04-01 00:00:00,125.299446
2019-05-01 00:00:00,226.783554
2019-06-01 00:00:00,157.673615
2019-07-01 00:00:00,108.920052
2019-08-01 00:00:00,146.320007
2019-09-01 00:00:00,109.584343
2019-10-01 00:00:00,135.842545
2019-11-01 00:00:00,86.6634369
2019-12-01 00:00:00,52.311554
2020-01-01 00:00:00,153.754623
2020-02-01 00:00:00,75.5429535
2020-03-01 00:00:00,158.957138
2020-04-01 00:00:00,121.97982
2020-05-01 00:00:00,164.453537
2020-06-01 00:00:00,111.017853
2020-07-01 00:00:00,143.023911
2020-08-01 00:00:00,76.1470184
2020-09-01 00:00:00,72.0553589
2020-10-01 00:00:00,108.231995
2020-11-01 00:00:00,80.1168518
2020-12-01 00:00:00,54.646122
2021-01-01 00:00:00,97.5465012
2021-02-01 00:00:00,43.7064209
2021-03-01 00:00:00,142.454849
2021-04-01 00:00:00,121.874695
2021-05-01 00:00:00,145.743835
2021-06-01 00:00:00,159.443192
2021-07-01 00:00:00,120.879875
2021-08-01 00:00:00,81.8419876
2021-09-01 00:00:00,67.4051285
