Title:,"Time Series, Area-Averaged of Merged satellite-gauge precipitation estimate - Final Run (recommended ()"
User Start Date:,2013-04-01T00:00:00Z
User End Date:,2022-11-30T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2013-04-01T00:00:00Z&endtime=2022-11-30T23:59:59Z&shape=tl_2014_us_state/shp_24&&data=GPM_3IMERGM_06_precipitation(units%3Dmm%2Fmonth)&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGM_06_precipitation):, -9999.9

time, mean_GPM_3IMERGM_06_precipitation
2013-04-01 00:00:00,106.868507
2013-05-01 00:00:00,70.2513199
2013-06-01 00:00:00,147.819504
2013-07-01 00:00:00,168.358536
2013-08-01 00:00:00,84.8035965
2013-09-01 00:00:00,75.5811005
2013-10-01 00:00:00,114.914139
2013-11-01 00:00:00,75.3712006
2013-12-01 00:00:00,116.79274
2014-01-01 00:00:00,62.1716995
2014-02-01 00:00:00,71.8390503
2014-03-01 00:00:00,58.0334854
2014-04-01 00:00:00,139.436798
2014-05-01 00:00:00,99.0961838
2014-06-01 00:00:00,149.167938
2014-07-01 00:00:00,99.9207687
2014-08-01 00:00:00,117.91571
2014-09-01 00:00:00,62.5577621
2014-10-01 00:00:00,81.5693054
2014-11-01 00:00:00,60.4660683
2014-12-01 00:00:00,74.6744156
2015-01-01 00:00:00,83.7584381
2015-02-01 00:00:00,46.0856323
2015-03-01 00:00:00,99.4956131
2015-04-01 00:00:00,123.150429
2015-05-01 00:00:00,90.7403488
2015-06-01 00:00:00,194.282318
2015-07-01 00:00:00,112.667366
2015-08-01 00:00:00,68.798996
2015-09-01 00:00:00,80.7219086
2015-10-01 00:00:00,72.9976501
2015-11-01 00:00:00,64.0334015
2015-12-01 00:00:00,136.851074
2016-01-01 00:00:00,51.4492035
2016-02-01 00:00:00,105.88633
2016-03-01 00:00:00,125.636879
2016-04-01 00:00:00,90.8358002
2016-05-01 00:00:00,80.016037
2016-06-01 00:00:00,93.3829651
2016-07-01 00:00:00,86.2776947
2016-08-01 00:00:00,114.577095
2016-09-01 00:00:00,101.284409
2016-10-01 00:00:00,69.4759369
2016-11-01 00:00:00,50.8656845
2016-12-01 00:00:00,90.6752472
2017-01-01 00:00:00,137.93187
2017-02-01 00:00:00,72.1291199
2017-03-01 00:00:00,126.356033
2017-04-01 00:00:00,110.916878
2017-05-01 00:00:00,149.816925
2017-06-01 00:00:00,129.894913
2017-07-01 00:00:00,139.518143
2017-08-01 00:00:00,65.8313751
2017-09-01 00:00:00,52.5916214
2017-10-01 00:00:00,93.3516922
2017-11-01 00:00:00,138.808517
2017-12-01 00:00:00,48.8262634
2018-01-01 00:00:00,67.3421783
2018-02-01 00:00:00,165.610199
2018-03-01 00:00:00,89.8419266
2018-04-01 00:00:00,121.073914
2018-05-01 00:00:00,116.132103
2018-06-01 00:00:00,121.81118
2018-07-01 00:00:00,100.009781
2018-08-01 00:00:00,105.927803
2018-09-01 00:00:00,148.326874
2018-10-01 00:00:00,82.2692566
2018-11-01 00:00:00,131.407883
2018-12-01 00:00:00,120.28389
2019-01-01 00:00:00,82.4302673
2019-02-01 00:00:00,146.771133
2019-03-01 00:00:00,100.350647
2019-04-01 00:00:00,112.714424
2019-05-01 00:00:00,121.136467
2019-06-01 00:00:00,152.797089
2019-07-01 00:00:00,115.28038
2019-08-01 00:00:00,86.5886002
2019-09-01 00:00:00,51.0638466
2019-10-01 00:00:00,106.855873
2019-11-01 00:00:00,48.4146996
2019-12-01 00:00:00,99.9071655
2020-01-01 00:00:00,127.599892
2020-02-01 00:00:00,88.7583237
2020-03-01 00:00:00,142.353577
2020-04-01 00:00:00,105.126877
2020-05-01 00:00:00,128.235199
2020-06-01 00:00:00,77.3225784
2020-07-01 00:00:00,90.5747604
2020-08-01 00:00:00,102.865608
2020-09-01 00:00:00,85.7653046
2020-10-01 00:00:00,135.05986
2020-11-01 00:00:00,89.5980682
2020-12-01 00:00:00,74.8652802
2021-01-01 00:00:00,64.050972
2021-02-01 00:00:00,88.4852219
2021-03-01 00:00:00,77.5831604
2021-04-01 00:00:00,72.4363556
2021-05-01 00:00:00,107.293037
2021-06-01 00:00:00,127.457047
2021-07-01 00:00:00,142.296799
2021-08-01 00:00:00,134.775543
2021-09-01 00:00:00,84.1122742
