Title:,"Time Series, Area-Averaged of Merged satellite-gauge precipitation estimate - Final Run (recommended for general ()"
User Start Date:,2013-04-01T00:00:00Z
User End Date:,2022-11-30T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2013-04-01T00:00:00Z&endtime=2022-11-30T23:59:59Z&shape=tl_2014_us_state/shp_50&&data=GPM_3IMERGM_06_precipitation(units%3Dmm%2Fmonth)&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGM_06_precipitation):, -9999.9

time, mean_GPM_3IMERGM_06_precipitation
2013-04-01 00:00:00,48.8849754
2013-05-01 00:00:00,125.784599
2013-06-01 00:00:00,70.0483932
2013-07-01 00:00:00,63.5004654
2013-08-01 00:00:00,59.1592064
2013-09-01 00:00:00,54.2157211
2013-10-01 00:00:00,113.041656
2013-11-01 00:00:00,11.6151047
2013-12-01 00:00:00,22.4914913
2014-01-01 00:00:00,8.51753712
2014-02-01 00:00:00,13.6022711
2014-03-01 00:00:00,22.8155079
2014-04-01 00:00:00,54.0123825
2014-05-01 00:00:00,69.563591
2014-06-01 00:00:00,150.586517
2014-07-01 00:00:00,40.3132668
2014-08-01 00:00:00,101.783272
2014-09-01 00:00:00,45.4110146
2014-10-01 00:00:00,11.6364841
2014-11-01 00:00:00,19.6806393
2014-12-01 00:00:00,16.6474323
2015-01-01 00:00:00,10.4267082
2015-02-01 00:00:00,10.153964
2015-03-01 00:00:00,10.5102854
2015-04-01 00:00:00,28.1775684
2015-05-01 00:00:00,152.650925
2015-06-01 00:00:00,107.277718
2015-07-01 00:00:00,80.0801849
2015-08-01 00:00:00,84.254097
2015-09-01 00:00:00,41.8284798
2015-10-01 00:00:00,39.8129539
2015-11-01 00:00:00,38.9475784
2015-12-01 00:00:00,27.1328678
2016-01-01 00:00:00,9.16477489
2016-02-01 00:00:00,23.2542343
2016-03-01 00:00:00,38.4387093
2016-04-01 00:00:00,114.466469
2016-05-01 00:00:00,77.1021957
2016-06-01 00:00:00,55.3186798
2016-07-01 00:00:00,77.3204269
2016-08-01 00:00:00,64.6299515
2016-09-01 00:00:00,46.3589783
2016-10-01 00:00:00,30.9006214
2016-11-01 00:00:00,31.2209415
2016-12-01 00:00:00,39.3960037
2017-01-01 00:00:00,14.9478111
2017-02-01 00:00:00,14.3042154
2017-03-01 00:00:00,25.1614399
2017-04-01 00:00:00,56.7552032
2017-05-01 00:00:00,56.4679604
2017-06-01 00:00:00,57.9431534
2017-07-01 00:00:00,49.6678581
2017-08-01 00:00:00,80.5317001
2017-09-01 00:00:00,61.4519424
2017-10-01 00:00:00,40.7431412
2017-11-01 00:00:00,6.27147675
2017-12-01 00:00:00,13.0995665
2018-01-01 00:00:00,6.7167058
2018-02-01 00:00:00,23.9481716
2018-03-01 00:00:00,46.5350037
2018-04-01 00:00:00,36.0039978
2018-05-01 00:00:00,78.0438843
2018-06-01 00:00:00,120.513145
2018-07-01 00:00:00,83.3688965
2018-08-01 00:00:00,42.3027458
2018-09-01 00:00:00,66.7802811
2018-10-01 00:00:00,39.966465
2018-11-01 00:00:00,22.2685146
2018-12-01 00:00:00,25.5776634
2019-01-01 00:00:00,13.6614313
2019-02-01 00:00:00,25.6741238
2019-03-01 00:00:00,46.2732658
2019-04-01 00:00:00,64.3457031
2019-05-01 00:00:00,154.693893
2019-06-01 00:00:00,71.3171158
2019-07-01 00:00:00,127.499298
2019-08-01 00:00:00,90.9890747
2019-09-01 00:00:00,97.6223145
2019-10-01 00:00:00,47.3690834
2019-11-01 00:00:00,31.8508492
2019-12-01 00:00:00,25.202961
2020-01-01 00:00:00,17.2467899
2020-02-01 00:00:00,16.3598118
2020-03-01 00:00:00,30.22575
2020-04-01 00:00:00,24.3210773
2020-05-01 00:00:00,76.4060287
2020-06-01 00:00:00,99.9584808
2020-07-01 00:00:00,79.5587006
2020-08-01 00:00:00,38.6695938
2020-09-01 00:00:00,21.8090343
2020-10-01 00:00:00,29.5354462
2020-11-01 00:00:00,14.8482246
2020-12-01 00:00:00,14.0696592
2021-01-01 00:00:00,18.0135937
2021-02-01 00:00:00,12.5792189
2021-03-01 00:00:00,44.4940834
2021-04-01 00:00:00,49.3227386
2021-05-01 00:00:00,71.674675
2021-06-01 00:00:00,44.3040733
2021-07-01 00:00:00,72.2487411
2021-08-01 00:00:00,76.7898483
2021-09-01 00:00:00,49.885128
