Title:,"Time Series, Area-Averaged of Merged satellite-gauge precipitation estimate - Final Run (recommended ()"
User Start Date:,2013-04-01T00:00:00Z
User End Date:,2022-11-30T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2013-04-01T00:00:00Z&endtime=2022-11-30T23:59:59Z&shape=tl_2014_us_state/shp_15&&data=GPM_3IMERGM_06_precipitation(units%3Dmm%2Fmonth)&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGM_06_precipitation):, -9999.9

time, mean_GPM_3IMERGM_06_precipitation
2013-04-01 00:00:00,125.472008
2013-05-01 00:00:00,141.529617
2013-06-01 00:00:00,145.718353
2013-07-01 00:00:00,68.8612671
2013-08-01 00:00:00,79.5087814
2013-09-01 00:00:00,68.71521
2013-10-01 00:00:00,102.995537
2013-11-01 00:00:00,82.8584595
2013-12-01 00:00:00,51.9563789
2014-01-01 00:00:00,39.5120163
2014-02-01 00:00:00,44.0856895
2014-03-01 00:00:00,37.8766594
2014-04-01 00:00:00,132.565735
2014-05-01 00:00:00,101.807022
2014-06-01 00:00:00,171.927948
2014-07-01 00:00:00,68.8319473
2014-08-01 00:00:00,135.575058
2014-09-01 00:00:00,100.037155
2014-10-01 00:00:00,84.7382889
2014-11-01 00:00:00,65.8954926
2014-12-01 00:00:00,47.3507347
2015-01-01 00:00:00,25.8544178
2015-02-01 00:00:00,17.5233078
2015-03-01 00:00:00,29.8372364
2015-04-01 00:00:00,90.5156403
2015-05-01 00:00:00,120.077156
2015-06-01 00:00:00,107.449692
2015-07-01 00:00:00,88.8467102
2015-08-01 00:00:00,113.214546
2015-09-01 00:00:00,132.655289
2015-10-01 00:00:00,77.4481277
2015-11-01 00:00:00,114.074501
2015-12-01 00:00:00,162.24292
2016-01-01 00:00:00,40.4579544
2016-02-01 00:00:00,33.1577873
2016-03-01 00:00:00,131.163239
2016-04-01 00:00:00,64.9565048
2016-05-01 00:00:00,89.6594467
2016-06-01 00:00:00,138.320526
2016-07-01 00:00:00,150.105804
2016-08-01 00:00:00,136.675919
2016-09-01 00:00:00,179.998154
2016-10-01 00:00:00,80.8992996
2016-11-01 00:00:00,72.6169968
2016-12-01 00:00:00,65.5816727
2017-01-01 00:00:00,85.2920761
2017-02-01 00:00:00,62.9290581
2017-03-01 00:00:00,63.8245239
2017-04-01 00:00:00,141.527374
2017-05-01 00:00:00,125.72007
2017-06-01 00:00:00,160.560776
2017-07-01 00:00:00,129.606812
2017-08-01 00:00:00,105.1492
2017-09-01 00:00:00,67.0609207
2017-10-01 00:00:00,118.435219
2017-11-01 00:00:00,36.8444633
2017-12-01 00:00:00,37.3012543
2018-01-01 00:00:00,41.7727356
2018-02-01 00:00:00,53.2836075
2018-03-01 00:00:00,27.7256794
2018-04-01 00:00:00,43.8909225
2018-05-01 00:00:00,143.385056
2018-06-01 00:00:00,150.083527
2018-07-01 00:00:00,78.6744232
2018-08-01 00:00:00,157.413361
2018-09-01 00:00:00,144.030746
2018-10-01 00:00:00,136.993866
2018-11-01 00:00:00,57.5039902
2018-12-01 00:00:00,58.8393745
2019-01-01 00:00:00,49.7270546
2019-02-01 00:00:00,90.8804474
2019-03-01 00:00:00,46.5474014
2019-04-01 00:00:00,107.830093
2019-05-01 00:00:00,142.015778
2019-06-01 00:00:00,113.345993
2019-07-01 00:00:00,127.254059
2019-08-01 00:00:00,88.932457
2019-09-01 00:00:00,199.307434
2019-10-01 00:00:00,122.536537
2019-11-01 00:00:00,70.8104172
2019-12-01 00:00:00,79.3526382
2020-01-01 00:00:00,65.658165
2020-02-01 00:00:00,24.3065624
2020-03-01 00:00:00,103.195023
2020-04-01 00:00:00,66.9447861
2020-05-01 00:00:00,123.066467
2020-06-01 00:00:00,159.542618
2020-07-01 00:00:00,144.66394
2020-08-01 00:00:00,94.3277588
2020-09-01 00:00:00,81.0250015
2020-10-01 00:00:00,105.778137
2020-11-01 00:00:00,72.2976379
2020-12-01 00:00:00,23.1334782
2021-01-01 00:00:00,28.3291969
2021-02-01 00:00:00,29.7692585
2021-03-01 00:00:00,50.1208763
2021-04-01 00:00:00,73.8879852
2021-05-01 00:00:00,86.3479691
2021-06-01 00:00:00,122.078644
2021-07-01 00:00:00,118.992012
2021-08-01 00:00:00,172.954346
2021-09-01 00:00:00,67.6819916
