year,precip_april,precip_may,precip_june,precip_july,precip_august,precip_september,precip_october,precip_november,state
2013,181.286301,187.788864,136.945496,72.2082825,40.8490181,42.1166344,92.8016129,70.9698181,illinois
2014,133.55867,82.5113068,178.725494,75.4394608,135.609421,101.316078,103.07679,57.531929,illinois
2015,94.8736191,140.820831,232.515793,130.872711,79.5575943,85.5811462,39.1652908,162.705658,illinois
2016,85.0775375,111.273087,70.6205444,177.302231,183.939621,88.4060059,59.6140556,75.4550934,illinois
2017,194.922119,114.961922,87.1199875,112.142731,63.5563469,24.8144722,125.908463,52.6137009,illinois
2018,63.4134178,116.714943,149.097992,86.208313,123.857712,124.22757,100.426231,80.5531006,illinois
2019,141.291809,195.180389,136.249619,84.7976685,102.31855,131.399902,122.606499,73.4846344,illinois
2020,101.78508,155.340698,117.545731,134.424744,53.1615829,94.6730728,96.9821396,78.8709641,illinois
2021,86.680275,110.394485,139.291306,119.340141,109.121925,64.2762146,92.5726352375,81.52311231249999,illinois
2013,161.227478,109.398888,137.616135,96.9425583,58.052887,74.8547058,116.005188,83.4712906,indiana
2014,148.035736,110.909874,134.193024,97.5690994,128.333786,85.0703583,95.3097,78.6382828,indiana
2015,121.847809,104.896843,218.179199,160.968079,70.1561661,65.0221176,53.9485664,102.189064,indiana
2016,96.8105011,95.4616852,98.2611313,137.802795,167.431061,94.5749664,53.5384483,75.2218094,indiana
2017,142.51535,161.488235,124.840126,125.689636,67.993988,50.4809647,107.567749,115.834106,indiana
2018,92.4481354,99.9209137,138.82962,102.029602,119.429054,146.17868,79.8101349,103.616714,indiana
2019,146.844193,142.673264,151.568954,95.9306259,86.0836105,57.8459854,110.999664,78.4210739,indiana
2020,86.4601746,149.748001,113.384247,124.029205,80.6697159,45.8245773,133.311829,85.5638199,indiana
2021,72.0371399,102.612267,169.989716,130.490723,98.9393539,103.777962,93.81140995,90.369520075,indiana
2013,163.784744,217.038086,112.705574,48.7362518,39.5909233,51.4542732,81.4605713,44.6764832,iowa
2014,126.722443,72.0054092,255.499573,69.0492096,170.884445,99.2248993,76.4431229,21.2516193,iowa
2015,78.6068115,128.137024,166.513763,150.968811,126.89608,110.829582,48.1766281,123.23291,iowa
2016,92.7337189,102.606918,107.820251,138.8078,161.669571,158.565735,55.9789162,46.9404869,iowa
2017,100.84565,108.114075,96.0869217,69.0397949,99.7641144,62.9025803,138.481659,13.7465782,iowa
2018,29.9283485,115.669472,203.443878,72.1161423,147.996704,185.802032,118.554222,51.9830818,iowa
2019,85.2827148,202.432373,112.899689,93.7668533,97.7626114,172.890442,116.120567,48.9978447,iowa
2020,44.4663811,114.195923,130.814133,88.4157867,37.848484,106.867851,57.914566,60.7072563,iowa
2021,44.7124405,103.651543,96.8286591,94.2360153,131.151352,49.8867874,86.6412815625,51.44203254999999,iowa
2013,63.0404243,118.007591,68.3280563,105.782074,110.233963,79.404686,64.7915878,35.7788315,kansas
2014,35.6169395,62.0849304,212.956085,76.9039917,84.9599609,79.7354736,66.8257675,14.6704426,kansas
2015,69.5884628,220.932007,97.2615204,131.236954,75.8374176,56.2799377,48.974514,96.6073608,kansas
2016,144.227554,127.61969,73.840538,132.199097,120.017151,106.201843,39.2926941,20.5837193,kansas
2017,143.437592,136.74263,80.2829132,71.9393845,97.772316,82.2250595,83.4720993,9.34878445,kansas
2018,32.9052696,115.383781,104.971855,105.704819,114.364845,81.2513351,160.910416,28.3262672,kansas
2019,66.1341782,262.954773,119.480034,65.3457031,173.039642,58.4226494,51.4576874,25.2646046,kansas
2020,50.1186638,99.6594315,81.7224503,171.224518,46.8397942,40.6888924,47.8488197,41.0146141,kansas
2021,48.5212021,140.015869,85.5179291,69.7676086,67.9475098,55.7810364,70.446698225,33.94932806875,kansas
2013,74.2270737,125.959358,124.583145,77.598877,59.9677773,66.6734161,98.6588287,25.7387104,minnesota
2014,94.364296,107.404953,185.90979,71.4064941,95.8844757,62.011322,35.5859451,25.1217384,minnesota
2015,37.4493179,130.750168,94.995163,102.129402,95.279686,81.3277969,58.1028709,80.4813385,minnesota
2016,67.8555832,73.2663345,113.904594,147.858978,133.76564,125.285492,60.4589386,54.2543449,minnesota
2017,72.7682724,72.4185104,100.930664,73.6039505,139.017746,102.140076,87.1374054,18.1254654,minnesota
2018,24.0883636,76.8041306,134.893219,92.5845566,80.9583282,108.948898,84.66539,24.6450024,minnesota
2019,67.5582428,106.691277,87.9032898,113.943398,88.1488571,158.980301,97.1059799,36.6347809,minnesota
2020,43.2858925,64.9341202,111.539268,119.879845,96.0552292,43.2385864,58.854229,43.2140388,minnesota
2021,73.411232,51.7175522,52.4816322,59.2295456,119.629311,80.2183838,72.57119845000001,38.5269274625,minnesota
2013,150.324783,175.96817,112.048759,75.5204773,106.902184,61.9541512,94.464653,68.1335754,missouri
2014,122.868507,73.0205994,162.428177,59.6347923,105.877197,103.093376,165.044006,48.2139587,missouri
2015,81.0846558,188.539703,193.938858,210.203522,98.2913513,57.3717804,36.0821381,224.119049,missouri
2016,89.8601913,143.291809,60.115963,174.297913,174.148132,108.93734,57.9974442,46.1600914,missouri
2017,252.642654,146.281296,113.022781,82.8318634,136.099976,39.6876183,105.528236,26.3215599,missouri
